企查查行业门类,对应学院,信心度,说明,行业基数
信息技术,计算机与软件学院,3,软件/网络/互联网应用为主,805
信息技术,信息与通信学院,3,通信、IoT、车联网为主,805
信息技术,微电子学院,3,集成电路、电子产品方向,805
信息技术,人工智能学院,3,AI、大数据、云计算,805
信息技术,数字媒体学院,2,数字媒体技术、虚拟现实,805
信息技术,中德机器人学院,2,工业互联、智能机器人软件层,805
机械设备,智能制造与装备学院,3,机械、自动化主战场,219
机械设备,中德机器人学院,3,工业机器人、智能控制,219
机械设备,微电子学院,1,智能光电制造方向,219
电力设备,智能制造与装备学院,2,工业电气、自动化,78
电力设备,中德机器人学院,1,电气控制相关,78
医药生物,（暂无对应专业）,0,院校未开设医药/生物专业,77
基础化工,交通与环境学院,1,环境工程/环境监测可部分覆盖,38
商贸零售,管理学院,3,电子商务、国际商务、关务等,33
商业服务,管理学院,3,工商企业管理、文化产业经营,17
汽车,信息与通信学院,3,汽车智能技术专业,17
商业服务,应用外语学院,2,商务英语、现代文秘,17
汽车,中德机器人学院,2,汽车制造工艺方向,17
环保,交通与环境学院,3,环境工程、环境监测主战场,11
轻工制造,数字媒体学院,2,工业设计、艺术设计,10
轻工制造,智能制造与装备学院,2,工业设计专业,10
航空航天与国防,中德机器人学院,2,无人机应用技术,9
建筑业,交通与环境学院,3,智能建造技术、园林工程,5
家用电器,智能制造与装备学院,2,家电制造,4
建材及非金属,交通与环境学院,1,建材类边缘,3
公用事业,交通与环境学院,1,环境/公共设施,3
金属及金属矿,（暂无对应专业）,0,院校未对应,3
文化传媒,数字媒体学院,3,广播影视、数字媒体艺术,1
交通运输,交通与环境学院,3,城市轨道交通运营管理,1
文化传媒,管理学院,2,文化产业经营与管理,1
房地产,交通与环境学院,2,智能建造、园林,1
农林牧渔,交通与环境学院,1,园林工程相关,1
交通运输,信息与通信学院,1,汽车智能技术,1
石油石化,（暂无对应专业）,0,,1
