major_id,专业名,学院,教育层次,是否含子轨道,子轨道数,top_industry_name,top_industry_score,top_industries_str,industry_names,industries_json
M_000,嵌入式技术,中德机器人学院,职业本科,False,0,信息技术,95,信息技术(95) | 机械设备(80) | 汽车(60),信息技术|机械设备|汽车,"[{""name"": ""信息技术"", ""score"": 95, ""reason"": ""培养目标明确指向嵌入式AI、嵌入式软件、嵌入式系统测试等职业，核心课程覆盖嵌入式实时操作系统、嵌入式Linux、工业机器视觉等信息技术核心领域，毕业生主要从事嵌入式系统软硬件开发，与信息技术行业深度契合。""}, {""name"": ""机械设备"", ""score"": 80, ""reason"": ""方向二'智慧工厂现场工程师'直接面向智能制造，培养产线数字化孪生、工业协作机器人部署与维护能力；方向三涉及AGV/AMR、具身智能等高端装备制造核心环节，与机械设备行业紧密关联。""}, {""name"": ""汽车"", ""score"": 60, ""reason"": ""嵌入式硬件开发方向涵盖从电路到PCB、从固件到应用软件的全栈设计能力，是汽车电子控制系统的核心技术基础；课程涉及边缘计算AI应用也可服务于智能网联汽车。""}]"
M_001,现代通信工程,信息与通信学院,职业本科,False,0,信息技术,95,信息技术(95) | 交通运输(55) | 机械设备(40),信息技术|交通运输|机械设备,"[{""name"": ""信息技术"", ""score"": 95, ""reason"": ""培养目标聚焦移动网络部署与优化、移动网络智能场景应用、智能终端软硬件开发等，核心课程涵盖5G、云计算、物联网、大数据、人工智能等信息技术前沿技术，毕业生主要从事通信工程技术和移动终端开发工作，为信息技术核心领域。""}, {""name"": ""交通运输"", ""score"": 55, ""reason"": ""课程涉及'移动网络赋能行业数字化'能力，提及智慧交通等智能场景应用；5G网络技术可应用于车联网、智能交通系统等领域，具一定相关性。""}, {""name"": ""机械设备"", ""score"": 40, ""reason"": ""智能终端软硬件开发能力可延伸至带通信功能的智能工业终端设备；移动网络智能场景应用包含工业物联网方向，但直接关联度不高。""}]"
M_002,集成电路工程技术,微电子学院,职业本科,False,0,信息技术,98,信息技术(98) | 机械设备(45) | 电力设备(35),信息技术|机械设备|电力设备,"[{""name"": ""信息技术"", ""score"": 98, ""reason"": ""培养目标直接指向集成电路设计、制造、封装与测试、智能芯片应用行业，核心课程涵盖IC前端电路设计、芯片后端设计、半导体设备装调、芯片测试等，毕业生从事IC设计工程师、版图设计工程师等职业，信息技术行业是芯片设计制造的最主要应用领域。""}, {""name"": ""机械设备"", ""score"": 45, ""reason"": ""半导体设备装调、封装工艺涉及精密设备操作与维护；芯片测试涉及ATE设备及分选机操作，与高端装备制造有一定关联，但非核心方向。""}, {""name"": ""电力设备"", ""score"": 35, ""reason"": ""专业带头人具备功率半导体研究背景，芯片技术可用于电力电子功率器件，但整体专业设置以通用集成电路为主，指向电力设备的特异性较低。""}]"
M_003,智能制造工程技术,智能制造与装备学院,职业本科,False,0,机械设备,92,机械设备(92) | 电力设备(45) | 航空航天与国防(32),机械设备|电力设备|航空航天与国防,"[{""name"": ""机械设备"", ""score"": 92, ""reason"": ""培养目标明确面向智能制造行业的机械设计工程师、精密制造工程师、智能装备装调工程师；核心课程涵盖机械设计、数控加工、工业机器人、精密检测；就业岗位为数字化设计、机电系统控制、智能制造装备装调与运维""}, {""name"": ""电力设备"", ""score"": 45, ""reason"": ""机电系统控制涉及电力驱动与PLC控制，但非主要培养方向；与智能制造装备相关的电气控制部分涉及电力设备行业""}, {""name"": ""航空航天与国防"", ""score"": 32, ""reason"": ""精密制造工程师培养方向涉及精密加工技术，但该行业在深圳市专精特新'小巨人'企业占比有限""}]"
M_004,软件工程技术,计算机与软件学院,职业本科,False,0,信息技术,96,信息技术(96) | 机械设备(48) | 商业服务(35),信息技术|机械设备|商业服务,"[{""name"": ""信息技术"", ""score"": 96, ""reason"": ""培养目标明确面向软件和信息技术服务业、互联网和相关服务；核心课程涵盖Java/Python开发、云计算、人工智能、工业软件；合作企业为腾讯、亚马逊、小米等头部信息技术企业""}, {""name"": ""机械设备"", ""score"": 48, ""reason"": ""课程包含EAP、MES等工业软件应用开发，工业软件与制造业数字化转型相关""}, {""name"": ""商业服务"", ""score"": 35, ""reason"": ""软件运维、技术支持等岗位部分涉及商业服务，但非主要服务方向""}]"
M_005,信息安全技术应用,计算机与软件学院,高职专科,False,0,信息技术,94,信息技术(94) | 商业服务(38) | 机械设备(22),信息技术|商业服务|机械设备,"[{""name"": ""信息技术"", ""score"": 94, ""reason"": ""培养目标明确面向信息传输、软件和信息技术服务业；职业能力涵盖网络安全运维、渗透测试、应急响应；合作企业为天融信、神州数码等信息安全头部企业""}, {""name"": ""商业服务"", ""score"": 38, ""reason"": ""信息安全工程实施与企业管理、信息安全管理涉及商业服务领域""}, {""name"": ""机械设备"", ""score"": 22, ""reason"": ""网络设备安全配置涉及少量工业自动化控制，但关联度较低""}]"
M_006,区块链技术应用,计算机与软件学院,高职专科,False,0,信息技术,90,信息技术(90) | 商业服务(55) | 交通运输(40),信息技术|商业服务|交通运输,"[{""name"": ""信息技术"", ""score"": 90, ""reason"": ""培养目标明确指向'软件和信息技术服务行业'，从事区块链应用开发、智能合约开发、区块链运维等岗位；核心课程覆盖前端开发、智能合约、联盟链、数据库等信息技术全栈技能；就业出口为区块链工程技术人员和区块链应用操作员，完全归属软件和信息技术服务业。""}, {""name"": ""商业服务"", ""score"": 55, ""reason"": ""区块链技术具备在商业服务领域（如合同存证、司法公证、审计追踪等）应用的天然优势，专业课程涉及密码学、分布式数据库等支撑商业信任机制的技术基础，学生可服务企业级区块链解决方案提供商。""}, {""name"": ""交通运输"", ""score"": 40, ""reason"": ""区块链在物流追踪、供应链溯源等交通运输相关场景有应用潜力，分布式账本技术可用于货物溯源与供应链管理，属于延伸应用场景而非核心对口方向。""}]"
M_007,移动互联应用技术,计算机与软件学院,高职专科,True,2,信息技术,88,信息技术(88) | 机械设备(55) | 商贸零售(40),信息技术|机械设备|商贸零售,"[{""name"": ""信息技术"", ""score"": 88, ""reason"": ""培养目标明确面向'软件和信息技术服务行业'，核心课程涵盖Android开发、鸿蒙系统开发、Web前后端开发、跨平台开发等移动与Web软件开发技能；就业岗位为移动APP开发工程师、Web前端开发工程师，归属软件和信息技术服务业。""}, {""name"": ""机械设备"", ""score"": 55, ""reason"": ""专业方向标注为'工业互联应用开发'，核心能力要求包括Android工业互联应用设计、开源鸿蒙工业互联应用设计、工业互联应用部署与调试等，将移动开发技术嵌入工业设备监控与制造执行系统，涉及制造业数字化转型场景。""}, {""name"": ""商贸零售"", ""score"": 40, ""reason"": ""移动应用开发（微信小程序、跨平台APP）能力可服务于电商平台、零售O2O等商贸零售场景，属于就业面的自然延伸。""}]"
M_008,计算机应用技术,计算机与软件学院,高职专科,True,1,信息技术,92,信息技术(92) | 公用事业(45) | 商业服务(35),信息技术|公用事业|商业服务,"[{""name"": ""信息技术"", ""score"": 92, ""reason"": ""培养目标明确指向'软件和信息技术服务行业'，核心能力为服务器硬件选型维护、网络及终端操作系统运维、数据库运维、虚拟化与容器技术、云计算系统架构等IT基础设施技术；就业岗位为系统运维工程师和Web运维工程师，完全属于信息技术服务范畴。""}, {""name"": ""公用事业"", ""score"": 45, ""reason"": ""课程涉及云计算系统架构、虚拟化技术、容器技术等，这些技术为公用事业领域（如政务云平台、智慧城市基础设施）提供基础支撑，但学生主要就业于IT企业而非公用事业单位本身。""}, {""name"": ""商业服务"", ""score"": 35, ""reason"": ""系统运维能力可为各类企业提供IT基础设施服务，属于商业服务的支撑性技能，但非专业培养的核心方向。""}]"
M_009,计算机网络技术,计算机与软件学院,高职专科,False,0,信息技术,95,信息技术(95),信息技术,"[{""name"": ""信息技术"", ""score"": 95, ""reason"": ""培养目标明确指向'新一代信息技术行业'的计算机网络工程师、信息系统运行维护工程师，从事终端运维、网络集成、智算中心运行管理；核心课程涵盖网络设备、云计算、网络系统集成；合作企业华为、腾讯均为信息技术龙头企业；职业技能直接对应网络运维、信息系统服务等信息技术领域岗位。""}]"
